time,hand,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,trigger_pressed,grip_pressed,primary_button_pressed,joystick_x,joystick_y,thumb,index,middle,ring,pinky
1.3099,Right,-0.1702,0.7117,0.3900,0.3000,0.1018,0.1479,0.9369,-0.0014,0.0006,0.0007,0.0062,0.0151,-0.0212,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.3432,Left,-0.3744,0.7123,0.6146,0.1375,0.6588,-0.3297,0.6621,-0.0005,0.0014,0.0033,0.0007,0.0574,-0.0098,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.3432,Right,-0.1703,0.7118,0.3902,0.3003,0.1012,0.1482,0.9368,-0.0020,0.0003,0.0018,0.0112,-0.0117,-0.0098,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.3776,Left,-0.3743,0.7124,0.6152,0.1376,0.6582,-0.3298,0.6625,0.0009,0.0020,0.0096,-0.0039,0.0141,-0.0103,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.3776,Right,-0.1700,0.7117,0.3903,0.3002,0.1009,0.1487,0.9368,0.0015,0.0009,0.0026,0.0053,-0.0162,0.0054,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.4109,Left,-0.3742,0.7125,0.6155,0.1378,0.6586,-0.3299,0.6621,0.0024,0.0026,0.0091,0.0046,0.0220,-0.0105,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.4109,Right,-0.1699,0.7118,0.3903,0.3003,0.1008,0.1486,0.9368,0.0031,0.0012,0.0014,0.0080,-0.0089,0.0003,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.4412,Left,-0.3740,0.7125,0.6155,0.1370,0.6591,-0.3302,0.6616,0.0046,0.0031,0.0063,-0.0087,0.0365,-0.0020,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.4412,Right,-0.1699,0.7121,0.3904,0.3000,0.1001,0.1492,0.9369,0.0025,0.0038,0.0023,-0.0027,-0.0281,0.0110,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.4754,Left,-0.3737,0.7127,0.6156,0.1368,0.6595,-0.3300,0.6614,0.0068,0.0038,0.0048,-0.0006,0.0346,0.0047,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.4754,Right,-0.1698,0.7123,0.3907,0.2989,0.0991,0.1502,0.9372,0.0017,0.0048,0.0050,-0.0166,-0.0532,0.0261,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.5096,Left,-0.3734,0.7128,0.6157,0.1370,0.6603,-0.3301,0.6605,0.0071,0.0034,0.0033,0.0089,0.0459,-0.0069,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.5096,Right,-0.1699,0.7121,0.3908,0.2994,0.0992,0.1498,0.9371,0.0011,0.0018,0.0036,-0.0005,-0.0205,0.0039,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.5435,Left,-0.3732,0.7129,0.6155,0.1364,0.6610,-0.3304,0.6597,0.0072,0.0034,0.0009,-0.0010,0.0599,-0.0037,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.5435,Right,-0.1697,0.7120,0.3906,0.2999,0.0996,0.1493,0.9369,0.0029,-0.0008,0.0005,0.0117,0.0083,-0.0090,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.5757,Left,-0.3728,0.7129,0.6158,0.1359,0.6614,-0.3308,0.6593,0.0088,0.0030,0.0048,-0.0115,0.0527,-0.0024,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.5757,Right,-0.1694,0.7120,0.3909,0.3001,0.0999,0.1492,0.9369,0.0046,-0.0015,0.0023,0.0100,0.0137,-0.0045,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.6106,Left,-0.3725,0.7131,0.6162,0.1363,0.6618,-0.3308,0.6588,0.0083,0.0039,0.0067,0.0089,0.0412,-0.0084,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.6106,Right,-0.1695,0.7119,0.3912,0.3000,0.0997,0.1493,0.9369,0.0020,-0.0008,0.0048,0.0039,0.0006,-0.0017,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.6425,Left,-0.3723,0.7133,0.6163,0.1361,0.6622,-0.3310,0.6583,0.0082,0.0045,0.0061,0.0027,0.0429,-0.0075,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.6425,Right,-0.1695,0.7120,0.3913,0.2994,0.0989,0.1495,0.9371,0.0003,0.0012,0.0056,-0.0111,-0.0255,0.0001,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
